PassengerId,Survived,Pclass,Sex,Family_Survival,Baby,Lost child,IsWomanOrBaby,FamilySize,FareBin_Code,AgeBin_Code
1,0.0,3,0,0.5,0,0.0,0,1,0,0
2,1.0,1,1,0.5,0,0.0,1,1,4,3
3,1.0,3,1,0.5,0,0.0,1,0,1,1
4,1.0,1,1,0.0,0,0.0,1,1,4,2
5,0.0,3,0,0.5,0,0.0,0,0,1,2
6,0.0,3,0,0.5,0,0.0,0,0,1,1
7,0.0,1,0,0.5,0,0.0,0,0,4,3
8,0.0,3,0,0.0,1,2.0,1,4,2,0
9,1.0,3,1,1.0,0,0.0,1,2,2,1
10,1.0,2,1,0.0,0,0.0,1,1,3,0
11,1.0,3,1,1.0,1,0.0,1,2,2,0
12,1.0,1,1,0.5,0,0.0,1,0,3,3
13,0.0,3,0,0.5,0,0.0,0,0,1,0
14,0.0,3,0,0.0,0,0.0,0,6,3,3
15,0.0,3,1,0.5,0,0.0,1,0,0,0
16,1.0,2,1,0.5,0,0.0,1,0,2,3
17,0.0,3,0,0.0,1,2.6666666666666665,1,5,3,0
18,1.0,2,0,0.5,0,0.0,0,0,2,1
19,0.0,3,1,0.0,0,0.0,1,1,2,2
20,1.0,3,1,0.5,0,0.0,1,0,0,2
21,0.0,2,0,0.0,0,0.0,0,0,3,2
22,1.0,2,0,0.5,0,0.0,0,0,2,2
23,1.0,3,1,0.5,0,0.0,1,0,1,0
24,1.0,1,0,0.5,0,0.0,0,0,3,1
25,0.0,3,1,0.0,0,0.0,1,4,2,0
26,1.0,3,1,1.0,0,0.0,1,6,3,3
27,0.0,3,0,0.5,0,0.0,0,0,0,1
28,0.0,1,0,1.0,0,0.0,0,5,4,0
29,1.0,3,1,0.5,0,0.0,1,0,1,0
30,0.0,3,0,0.5,0,0.0,0,0,1,1
31,0.0,1,0,0.5,0,0.0,0,0,3,3
32,1.0,1,1,1.0,0,0.0,1,1,4,2
33,1.0,3,1,0.5,0,0.0,1,0,0,0
34,0.0,2,0,0.5,0,0.0,0,0,1,3
35,0.0,1,0,1.0,0,0.0,0,1,4,1
36,0.0,1,0,1.0,0,0.0,0,1,4,3
37,1.0,3,0,0.5,0,0.0,0,0,0,1
38,0.0,3,0,0.5,0,0.0,0,0,1,0
39,0.0,3,1,0.0,0,0.0,1,2,2,0
40,1.0,3,1,1.0,0,0.0,1,1,2,0
41,0.0,3,1,0.5,0,0.0,1,1,1,3
42,0.0,2,1,0.0,0,0.0,1,1,2,1
43,0.0,3,0,0.5,0,0.0,0,0,1,1
44,1.0,2,1,1.0,1,0.0,1,3,3,0
45,1.0,3,1,0.5,0,0.0,1,0,1,0
46,0.0,3,0,0.5,0,0.0,0,0,1,1
47,0.0,3,0,0.5,0,0.0,0,1,2,1
48,1.0,3,1,0.5,0,0.0,1,0,0,0
49,0.0,3,0,0.5,0,0.0,0,2,3,1
50,0.0,3,1,0.0,0,0.0,1,1,2,0
51,0.0,3,0,0.0,0,2.6666666666666665,1,5,3,0
52,0.0,3,0,0.5,0,0.0,0,0,0,0
53,1.0,1,1,1.0,0,0.0,1,1,4,3
54,1.0,2,1,0.5,0,0.0,1,1,3,1
55,0.0,1,0,0.5,0,0.0,0,1,4,3
56,1.0,1,0,0.5,0,0.0,0,0,3,1
57,1.0,2,1,0.5,0,0.0,1,0,1,0
58,0.0,3,0,0.5,0,0.0,0,0,0,1
59,1.0,2,1,1.0,1,0.0,1,3,3,0
60,0.0,3,0,0.0,0,2.0,1,7,4,0
61,0.0,3,0,0.5,0,0.0,0,0,0,0
62,1.0,1,1,1.0,0,0.0,1,0,4,3
63,0.0,1,0,1.0,0,0.0,0,1,4,3
64,0.0,3,0,0.0,1,1.2,1,5,3,0
65,0.0,1,0,0.5,0,0.0,0,0,3,1
66,1.0,3,0,1.0,1,0.6666666666666666,1,2,2,0
67,1.0,2,1,0.5,0,0.0,1,0,1,1
68,0.0,3,0,0.5,0,0.0,0,0,1,0
69,1.0,3,1,0.5,0,0.0,1,6,1,0
70,0.0,3,0,0.5,0,0.0,0,2,1,1
71,0.0,2,0,0.5,0,0.0,0,0,1,2
72,0.0,3,1,0.0,0,0.0,1,7,4,0
73,0.0,2,0,0.0,0,0.0,0,0,4,0
74,0.0,3,0,0.5,0,0.0,0,1,2,1
75,1.0,3,0,1.0,0,0.0,0,0,4,2
76,0.0,3,0,0.5,0,0.0,0,0,0,1
77,0.0,3,0,0.5,0,0.0,0,0,1,1
78,0.0,3,0,0.5,0,0.0,0,0,1,1
79,1.0,2,0,1.0,1,0.0,1,2,3,0
80,1.0,3,1,1.0,0,0.0,1,0,2,1
81,0.0,3,0,0.5,0,0.0,0,0,1,0
82,1.0,3,0,0.5,0,0.0,0,0,1,1
83,1.0,3,1,0.5,0,0.0,1,0,0,0
84,0.0,1,0,0.5,0,0.0,0,0,4,1
85,1.0,2,1,0.5,0,0.0,1,0,1,0
86,1.0,3,1,0.0,0,0.0,1,3,2,2
87,0.0,3,0,0.0,0,0.0,0,4,3,0
88,0.0,3,0,0.5,0,0.0,0,0,1,1
89,1.0,1,1,1.0,0,0.0,1,5,4,1
90,0.0,3,0,0.5,0,0.0,0,0,1,1
91,0.0,3,0,0.5,0,0.0,0,0,1,1
92,0.0,3,0,0.5,0,0.0,0,0,0,0
93,0.0,1,0,0.5,0,0.0,0,1,4,3
94,0.0,3,0,1.0,0,0.0,0,3,2,1
95,0.0,3,0,0.5,0,0.0,0,0,0,3
96,0.0,3,0,0.5,0,0.0,0,0,1,1
97,0.0,1,0,0.5,0,0.0,0,0,3,3
98,1.0,1,0,0.5,0,0.0,0,1,4,1
99,1.0,2,1,1.0,0,0.0,1,1,3,2
100,0.0,2,0,1.0,0,0.0,0,1,3,2
101,0.0,3,1,0.5,0,0.0,1,0,1,1
102,0.0,3,0,0.0,0,0.0,0,0,1,1
103,0.0,1,0,0.0,0,0.0,0,1,4,0
104,0.0,3,0,0.5,0,0.0,0,0,1,2
105,0.0,3,0,0.0,0,0.0,0,2,1,3
106,0.0,3,0,0.5,0,0.0,0,0,1,1
107,1.0,3,1,0.5,0,0.0,1,0,0,0
108,1.0,3,0,0.5,0,0.0,0,0,0,1
109,0.0,3,0,0.5,0,0.0,0,0,1,3
110,1.0,3,1,0.0,0,0.0,1,1,3,0
111,0.0,1,0,0.0,0,0.0,0,0,4,3
112,0.0,3,1,0.0,0,0.0,1,1,2,0
113,0.0,3,0,0.5,0,0.0,0,0,1,0
114,0.0,3,1,0.0,0,0.0,1,1,1,0
115,0.0,3,1,0.0,0,0.0,1,0,2,0
116,0.0,3,0,0.5,0,0.0,0,0,1,0
117,0.0,3,0,0.5,0,0.0,0,0,0,3
118,0.0,2,0,0.0,0,0.0,0,1,2,1
119,0.0,1,0,1.0,0,0.0,0,1,4,1
120,0.0,3,1,0.0,1,0.0,1,6,3,0
121,0.0,2,0,0.0,0,0.0,0,2,4,0
122,0.0,3,0,0.5,0,0.0,0,0,1,1
123,0.0,2,0,1.0,0,0.0,0,1,3,2
124,1.0,2,1,0.5,0,0.0,1,0,2,2
125,0.0,1,0,0.0,0,0.0,0,1,4,3
126,1.0,3,0,1.0,0,2.0,1,1,2,0
127,0.0,3,0,0.5,0,0.0,0,0,0,1
128,1.0,3,0,0.5,0,0.0,0,0,0,1
129,1.0,3,1,1.0,0,0.0,1,2,3,0
130,0.0,3,0,0.5,0,0.0,0,0,0,3
131,0.0,3,0,0.5,0,0.0,0,0,1,2
